version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Hobart Hurricanes
info,gender,male
info,season,2022/23
info,date,2022/12/31
info,event,Big Bash League
info,match_number,22
info,venue,"Lavington Sports Oval, Albury"
info,city,Albury
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,O Davies
info,umpire,GJ Davidson
info,umpire,P Wilson
info,reserve_umpire,Bede Sajowitz
info,tv_umpire,MW Graham-Smith
info,match_referee,RW Stratford
info,winner,Sydney Thunder
info,winner_runs,62
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,AD Hales
info,player,Sydney Thunder,RR Rossouw
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,DR Sams
info,player,Sydney Thunder,AI Ross
info,player,Sydney Thunder,BCJ Cutting
info,player,Sydney Thunder,N McAndrew
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,B Doggett
info,player,Sydney Thunder,Usman Qadir
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,DJM Short
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,JDS Neesham
info,player,Hobart Hurricanes,Asif Ali
info,player,Hobart Hurricanes,Shadab Khan
info,player,Hobart Hurricanes,JS Paris
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,PG Dooley
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,AD Hales,92aeac25
info,registry,people,AI Ross,fb0d68b4
info,registry,people,Asif Ali,0a4736eb
info,registry,people,B Doggett,898e628d
info,registry,people,BCJ Cutting,2e11c706
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,CJ Green,19b9f399
info,registry,people,CP Jewell,806c4e58
info,registry,people,DJM Short,1a156c88
info,registry,people,DR Sams,caf69bf7
info,registry,people,GJ Davidson,31ad5973
info,registry,people,JA Davies,5cdf8304
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JS Paris,7c8f533d
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,N McAndrew,38c276e1
info,registry,people,NT Ellis,9eb1455b
info,registry,people,O Davies,0ea54eca
info,registry,people,P Wilson,68304a36
info,registry,people,PG Dooley,5e3054d0
info,registry,people,RP Meredith,64775749
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RW Stratford,85489579
info,registry,people,Shadab Khan,9de62878
info,registry,people,TH David,f1f99156
info,registry,people,TW Gray,5e365152
info,registry,people,Usman Qadir,33742f04
