version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Melbourne Renegades
info,gender,male
info,season,2023/24
info,date,2023/12/29
info,event,Big Bash League
info,match_number,18
info,venue,"Docklands Stadium, Melbourne"
info,city,Melbourne
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,J Fraser-McGurk
info,umpire,BNJ Oxenford
info,umpire,GA Abood
info,reserve_umpire,L McCabe
info,tv_umpire,DM Koch
info,match_referee,RW Stratford
info,winner,Melbourne Renegades
info,winner_wickets,4
info,player,Adelaide Strikers,MW Short
info,player,Adelaide Strikers,DJM Short
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,J Weatherald
info,player,Adelaide Strikers,AJ Hose
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,JJ Bazley
info,player,Adelaide Strikers,HJ Nielsen
info,player,Adelaide Strikers,WA Agar
info,player,Adelaide Strikers,DA Payne
info,player,Adelaide Strikers,CJ Boyce
info,player,Melbourne Renegades,JM Clarke
info,player,Melbourne Renegades,Q de Kock
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,SE Marsh
info,player,Melbourne Renegades,JW Wells
info,player,Melbourne Renegades,MW Harvey
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,Mujeeb Ur Rahman
info,player,Melbourne Renegades,PM Siddle
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Hose,104e88a4
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CJ Boyce,51a60c16
info,registry,people,DA Payne,6c79c098
info,registry,people,DJM Short,1a156c88
info,registry,people,DM Koch,6d10c034
info,registry,people,GA Abood,a4af5528
info,registry,people,HJ Nielsen,0ea1455a
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,J Overton,59559bc2
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JJ Bazley,003d49e6
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JW Wells,8bdac857
info,registry,people,L McCabe,1dbc4a64
info,registry,people,MW Harvey,47dc9794
info,registry,people,MW Short,a90e53ec
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,PM Siddle,bd93fea4
info,registry,people,Q de Kock,372455c4
info,registry,people,RW Stratford,85489579
info,registry,people,SE Marsh,508a1ea7
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
info,registry,people,WA Agar,15de1f5d
