version,2.2.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Hobart Hurricanes
info,gender,male
info,season,2023/24
info,date,2024/01/04
info,event,Big Bash League
info,match_number,26
info,venue,"Docklands Stadium, Melbourne"
info,city,Melbourne
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,SR Hain
info,umpire,BNJ Oxenford
info,umpire,Eloise Sheridan
info,reserve_umpire,D Brigham
info,tv_umpire,SJ Nogajski
info,match_referee,Kent Hannam
info,winner,Hobart Hurricanes
info,winner_wickets,6
info,player,Melbourne Renegades,SE Marsh
info,player,Melbourne Renegades,Q de Kock
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,JM Cox
info,player,Melbourne Renegades,JW Wells
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,RP Kellepotha
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,PM Siddle
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,M Wright
info,player,Hobart Hurricanes,SR Hain
info,player,Hobart Hurricanes,CJ Anderson
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,PG Dooley
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,A Zampa,14f96089
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Anderson,8abdf100
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CP Jewell,806c4e58
info,registry,people,D Brigham,464daf41
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,F O'Neill,39d608d4
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JM Cox,ff154ecd
info,registry,people,JW Wells,8bdac857
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,M Wright,bd920a2c
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,PG Dooley,5e3054d0
info,registry,people,PM Siddle,bd93fea4
info,registry,people,Q de Kock,372455c4
info,registry,people,RP Kellepotha,d13d1dd0
info,registry,people,RP Meredith,64775749
info,registry,people,SE Marsh,508a1ea7
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SR Hain,67b9536c
info,registry,people,TH David,f1f99156
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
