version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Hobart Hurricanes
info,gender,male
info,season,2024/25
info,date,2024/12/21
info,event,Big Bash League
info,match_number,7
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,MJ Owen
info,umpire,BC Treloar
info,umpire,SA Lightbody
info,reserve_umpire,C Ackerman
info,tv_umpire,SJ Nogajski
info,match_referee,Kepler Wessels
info,winner,Hobart Hurricanes
info,winner_wickets,8
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,KK Jennings
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,MF Hurst
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,LR Morris
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,SD Hope
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,RP Meredith
info,player,Hobart Hurricanes,B Stanlake
info,player,Hobart Hurricanes,Waqar Salamkheil
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BR McDermott,c41043e6
info,registry,people,C Ackerman,b4223f86
info,registry,people,C Connolly,fe366f34
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CP Jewell,806c4e58
info,registry,people,FH Allen,bf74b130
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,KK Jennings,8479a24a
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,LR Morris,b08e58e2
info,registry,people,MF Hurst,40e4cf47
info,registry,people,MJ Owen,f2c936d7
info,registry,people,NR Hobson,4312e0fd
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,RP Meredith,64775749
info,registry,people,SA Lightbody,680b8cbf
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,TH David,f1f99156
info,registry,people,Waqar Salamkheil,3f1066d0
