version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Melbourne Renegades
info,gender,male
info,season,2024/25
info,date,2024/12/23
info,event,Big Bash League
info,match_number,10
info,venue,"Docklands Stadium, Melbourne"
info,city,Melbourne
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,TS Rogers
info,umpire,GJ Davidson
info,umpire,SAJ Craig
info,reserve_umpire,D Brigham
info,tv_umpire,Troy Penman
info,match_referee,Kent Hannam
info,winner,Melbourne Renegades
info,winner_wickets,2
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,KK Jennings
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,M Spoors
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,M Kelly
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,JG Bethell
info,player,Melbourne Renegades,LJ Evans
info,player,Melbourne Renegades,MW Harvey
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,KW Richardson
info,registry,people,A Zampa,14f96089
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,C Connolly,fe366f34
info,registry,people,D Brigham,464daf41
info,registry,people,F O'Neill,39d608d4
info,registry,people,FH Allen,bf74b130
info,registry,people,GJ Davidson,31ad5973
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JG Bethell,3c55c703
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,KK Jennings,8479a24a
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Kelly,68e26ec9
info,registry,people,M Spoors,da4a1e46
info,registry,people,MW Harvey,47dc9794
info,registry,people,NR Hobson,4312e0fd
info,registry,people,SAJ Craig,689f2eed
info,registry,people,TL Seifert,4663bd23
info,registry,people,TS Rogers,1b04e02b
info,registry,people,Troy Penman,0aa42c26
info,registry,people,W Sutherland,bc2d4f2e
