version,2.2.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Sydney Sixers
info,gender,male
info,season,2024/25
info,date,2024/12/29
info,event,Big Bash League
info,match_number,15
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,BJ Dwarshuis
info,umpire,PJ Gillespie
info,umpire,SA Lightbody
info,reserve_umpire,SE Dionysius
info,tv_umpire,Andrew Crozier
info,match_referee,Kepler Wessels
info,winner,Sydney Sixers
info,winner_wickets,8
info,player,Brisbane Heat,T Banton
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,C Munro
info,player,Brisbane Heat,NA McSweeney
info,player,Brisbane Heat,MT Renshaw
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,PI Walter
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,MJ Swepson
info,player,Brisbane Heat,SH Johnson
info,player,Brisbane Heat,MP Kuhnemann
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,KR Patterson
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,L Shaw
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,AJ Hosein
info,player,Sydney Sixers,T Murphy
info,player,Sydney Sixers,JM Bird
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,Andrew Crozier,00d07580
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,C Munro,af2c687b
info,registry,people,H Kerr,f422728b
info,registry,people,JA Davies,5cdf8304
info,registry,people,JC Silk,7a6dc294
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JM Bird,bc773eeb
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,KR Patterson,e3bf8356
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,L Shaw,b34e4b15
info,registry,people,M Bryant,f32012f4
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MT Renshaw,218d4d78
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,PI Walter,57590dbb
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,SA Lightbody,680b8cbf
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,T Banton,25f7b7d6
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,XC Bartlett,3b53243a
