version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Perth Scorchers
info,gender,male
info,season,2024/25
info,date,2024/12/31
info,event,Big Bash League
info,match_number,17
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,C Connolly
info,umpire,PJ Gillespie
info,umpire,SJ Nogajski
info,reserve_umpire,Andrew Crozier
info,tv_umpire,Eloise Sheridan
info,match_referee,SD Fry
info,winner,Perth Scorchers
info,winner_wickets,7
info,player,Adelaide Strikers,DJM Short
info,player,Adelaide Strikers,OJ Pope
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,J Weatherald
info,player,Adelaide Strikers,AI Ross
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,L Scott
info,player,Adelaide Strikers,HTRY Thornton
info,player,Adelaide Strikers,B Doggett
info,player,Adelaide Strikers,CJ Boyce
info,player,Adelaide Strikers,L Pope
info,player,Perth Scorchers,MF Hurst
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,LR Morris
info,registry,people,AC Agar,a2421394
info,registry,people,AI Ross,fb0d68b4
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Andrew Crozier,00d07580
info,registry,people,B Doggett,898e628d
info,registry,people,C Connolly,fe366f34
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CJ Boyce,51a60c16
info,registry,people,DJM Short,1a156c88
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FH Allen,bf74b130
info,registry,people,HTRY Thornton,055be93a
info,registry,people,J Overton,59559bc2
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JP Behrendorff,4933f499
info,registry,people,L Pope,616a8149
info,registry,people,L Scott,0ebb3444
info,registry,people,LR Morris,b08e58e2
info,registry,people,MF Hurst,40e4cf47
info,registry,people,NR Hobson,4312e0fd
info,registry,people,OJ Pope,e94bc520
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,SD Fry,6b725ed1
info,registry,people,SJ Nogajski,9b3f9323
