version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Sydney Thunder
info,gender,male
info,season,2024/25
info,date,2025/01/03
info,event,Big Bash League
info,match_number,22
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,player_of_match,SE Rutherford
info,umpire,D Taylor
info,umpire,MW Graham-Smith
info,reserve_umpire,J Thomas
info,tv_umpire,Andrew Crozier
info,match_referee,SJ Davis
info,winner,Sydney Thunder
info,winner_wickets,4
info,player,Perth Scorchers,MF Hurst
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,M Spoors
info,player,Perth Scorchers,M Kelly
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,LR Morris
info,player,Sydney Thunder,CT Bancroft
info,player,Sydney Thunder,DR Sams
info,player,Sydney Thunder,B Nikitaras
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,SE Rutherford
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,HD Weibgen
info,player,Sydney Thunder,TD Andrews
info,player,Sydney Thunder,LH Ferguson
info,player,Sydney Thunder,WA Agar
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Andrew Crozier,00d07580
info,registry,people,B Nikitaras,d4e39566
info,registry,people,C Connolly,fe366f34
info,registry,people,CJ Green,19b9f399
info,registry,people,CT Bancroft,399b0b94
info,registry,people,D Taylor,b940a2b2
info,registry,people,DA Warner,dcce6f09
info,registry,people,DR Sams,caf69bf7
info,registry,people,FH Allen,bf74b130
info,registry,people,HD Weibgen,2535b30f
info,registry,people,J Thomas,118c3b91
info,registry,people,JP Behrendorff,4933f499
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LR Morris,b08e58e2
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,M Kelly,68e26ec9
info,registry,people,M Spoors,da4a1e46
info,registry,people,MF Hurst,40e4cf47
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NR Hobson,4312e0fd
info,registry,people,O Davies,0ea54eca
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SW Billings,c16d4035
info,registry,people,TD Andrews,a0f612b6
info,registry,people,WA Agar,15de1f5d
