version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Hobart Hurricanes
info,gender,male
info,season,2024/25
info,date,2025/01/05
info,event,Big Bash League
info,match_number,24
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,TH David
info,umpire,BC Treloar
info,umpire,S Patel
info,reserve_umpire,M Qureshi
info,tv_umpire,GA Abood
info,match_referee,David Johnston
info,winner,Hobart Hurricanes
info,winner_wickets,5
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,DJM Short
info,player,Adelaide Strikers,J Weatherald
info,player,Adelaide Strikers,OJ Pope
info,player,Adelaide Strikers,AI Ross
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,JJ Bazley
info,player,Adelaide Strikers,HTRY Thornton
info,player,Adelaide Strikers,B Doggett
info,player,Adelaide Strikers,CJ Boyce
info,player,Adelaide Strikers,L Pope
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,SD Hope
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,RP Meredith
info,player,Hobart Hurricanes,B Stanlake
info,player,Hobart Hurricanes,Waqar Salamkheil
info,registry,people,AI Ross,fb0d68b4
info,registry,people,B Doggett,898e628d
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BR McDermott,c41043e6
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CJ Boyce,51a60c16
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DJM Short,1a156c88
info,registry,people,David Johnston,92cef862
info,registry,people,GA Abood,a4af5528
info,registry,people,HTRY Thornton,055be93a
info,registry,people,J Overton,59559bc2
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JJ Bazley,003d49e6
info,registry,people,L Pope,616a8149
info,registry,people,M Qureshi,cf34fbef
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,OJ Pope,e94bc520
info,registry,people,RP Meredith,64775749
info,registry,people,S Patel,c4ee6c06
info,registry,people,SD Hope,1fc6ef83
info,registry,people,TH David,f1f99156
info,registry,people,Waqar Salamkheil,3f1066d0
