version,2.2.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Hobart Hurricanes
info,gender,male
info,season,2024/25
info,date,2025/01/14
info,event,Big Bash League
info,match_number,34
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,JG Bethell
info,umpire,Andrew Crozier
info,umpire,GA Abood
info,reserve_umpire,M Qureshi
info,tv_umpire,SJ Nogajski
info,match_referee,RL Parry
info,winner,Hobart Hurricanes
info,winner_wickets,4
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,MS Harris
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,JG Bethell
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,HT Dixon
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,C Stow
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,CA Wakim
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,JR Doran
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,P Hatzoglou
info,player,Hobart Hurricanes,RP Meredith
info,player,Hobart Hurricanes,B Stanlake
info,registry,people,A Zampa,14f96089
info,registry,people,Andrew Crozier,00d07580
info,registry,people,B Stanlake,6834d1f2
info,registry,people,C Stow,3f9ec1d2
info,registry,people,CA Wakim,c5e415aa
info,registry,people,CP Jewell,806c4e58
info,registry,people,F O'Neill,39d608d4
info,registry,people,GA Abood,a4af5528
info,registry,people,HT Dixon,ecbad6c6
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JG Bethell,3c55c703
info,registry,people,JR Doran,9cebb612
info,registry,people,M Qureshi,cf34fbef
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Harris,9e85455c
info,registry,people,MS Wade,afa7e784
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,RL Parry,86d151dc
info,registry,people,RP Meredith,64775749
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,TH David,f1f99156
info,registry,people,TL Seifert,4663bd23
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
