version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Perth Scorchers
info,gender,male
info,season,2024/25
info,date,2025/01/18
info,event,Big Bash League
info,match_number,39
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,JP Behrendorff
info,umpire,GJ Davidson
info,umpire,MW Graham-Smith
info,reserve_umpire,D Taylor
info,tv_umpire,S Patel
info,match_referee,SD Fry
info,winner,Perth Scorchers
info,winner_wickets,5
info,player,Adelaide Strikers,AT Carey
info,player,Adelaide Strikers,MW Short
info,player,Adelaide Strikers,OJ Pope
info,player,Adelaide Strikers,L Scott
info,player,Adelaide Strikers,AI Ross
info,player,Adelaide Strikers,HJ Manenti
info,player,Adelaide Strikers,DJM Short
info,player,Adelaide Strikers,B Doggett
info,player,Adelaide Strikers,L Haskett
info,player,Adelaide Strikers,L Pope
info,player,Adelaide Strikers,JS Buckingham
info,player,Perth Scorchers,S Fanning
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,M Spoors
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,LR Morris
info,player,Perth Scorchers,M Beardman
info,registry,people,AC Agar,a2421394
info,registry,people,AI Ross,fb0d68b4
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Hardie,d405c0d5
info,registry,people,AT Carey,69d03465
info,registry,people,B Doggett,898e628d
info,registry,people,C Connolly,fe366f34
info,registry,people,D Taylor,b940a2b2
info,registry,people,DJM Short,1a156c88
info,registry,people,FH Allen,bf74b130
info,registry,people,GJ Davidson,31ad5973
info,registry,people,HJ Manenti,0e56c514
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JS Buckingham,10735e1d
info,registry,people,L Haskett,037429dc
info,registry,people,L Pope,616a8149
info,registry,people,L Scott,0ebb3444
info,registry,people,LR Morris,b08e58e2
info,registry,people,M Beardman,b5a12740
info,registry,people,M Spoors,da4a1e46
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,MW Short,a90e53ec
info,registry,people,NR Hobson,4312e0fd
info,registry,people,OJ Pope,e94bc520
info,registry,people,S Fanning,a9d2dab9
info,registry,people,S Patel,c4ee6c06
info,registry,people,SD Fry,6b725ed1
