version,2.2.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Sydney Thunder
info,gender,male
info,season,2024/25
info,date,2025/01/24
info,event,Big Bash League
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,player_of_match,SW Billings
info,umpire,DM Koch
info,umpire,SJ Nogajski
info,reserve_umpire,SAJ Craig
info,tv_umpire,PJ Gillespie
info,match_referee,SJ Davis
info,winner,Sydney Thunder
info,winner_wickets,4
info,player,Sydney Sixers,KR Patterson
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,L Shaw
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,BAD Manenti
info,player,Sydney Sixers,M Perry
info,player,Sydney Sixers,JA Chohan
info,player,Sydney Thunder,JJS Sangha
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,HD Weibgen
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,GHS Garton
info,player,Sydney Thunder,N McAndrew
info,player,Sydney Thunder,TD Andrews
info,player,Sydney Thunder,WA Agar
info,player,Sydney Thunder,T Sangha
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,CJ Green,19b9f399
info,registry,people,DA Warner,dcce6f09
info,registry,people,DM Koch,6d10c034
info,registry,people,GHS Garton,be869ccf
info,registry,people,H Kerr,f422728b
info,registry,people,HD Weibgen,2535b30f
info,registry,people,J Edwards,f787e0eb
info,registry,people,JA Chohan,58be5e46
info,registry,people,JC Silk,7a6dc294
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,JR Philippe,39086549
info,registry,people,KR Patterson,e3bf8356
info,registry,people,L Shaw,b34e4b15
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,M Perry,442461fa
info,registry,people,MC Henriques,32198ae0
info,registry,people,N McAndrew,38c276e1
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SW Billings,c16d4035
info,registry,people,T Sangha,52c952d9
info,registry,people,TD Andrews,a0f612b6
info,registry,people,WA Agar,15de1f5d
