version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Melbourne Stars
info,gender,male
info,season,2025/26
info,date,2025/12/28
info,event,Big Bash League
info,match_number,14
info,venue,"Manuka Oval, Canberra"
info,city,Canberra
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,Haris Rauf
info,umpire,D Brigham
info,umpire,Troy Penman
info,reserve_umpire,D Crozier
info,tv_umpire,CA Polosak
info,match_referee,Kent Hannam
info,winner,Melbourne Stars
info,winner_wickets,9
info,player,Sydney Thunder,S Konstas
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,CT Bancroft
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,Shadab Khan
info,player,Sydney Thunder,DR Sams
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,T Sangha
info,player,Sydney Thunder,RJW Topley
info,player,Sydney Thunder,R Hadley
info,player,Melbourne Stars,JM Clarke
info,player,Melbourne Stars,SB Harper
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,C Kellaway
info,player,Melbourne Stars,TF Rogers
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,HWR Cartwright
info,player,Melbourne Stars,TK Curran
info,player,Melbourne Stars,MJ Swepson
info,player,Melbourne Stars,Haris Rauf
info,player,Melbourne Stars,PM Siddle
info,registry,people,C Kellaway,60c28835
info,registry,people,CA Polosak,26a360d2
info,registry,people,CJ Green,19b9f399
info,registry,people,CT Bancroft,399b0b94
info,registry,people,D Brigham,464daf41
info,registry,people,D Crozier,635509c0
info,registry,people,DA Warner,dcce6f09
info,registry,people,DR Sams,caf69bf7
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JM Clarke,2eca67f5
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,PM Siddle,bd93fea4
info,registry,people,R Hadley,15b39832
info,registry,people,RJW Topley,8db7f47f
info,registry,people,S Konstas,3c34c9e1
info,registry,people,SB Harper,a756e61a
info,registry,people,SW Billings,c16d4035
info,registry,people,Shadab Khan,9de62878
info,registry,people,T Sangha,52c952d9
info,registry,people,TF Rogers,7f232d46
info,registry,people,TK Curran,e86754b2
info,registry,people,Troy Penman,0aa42c26
