version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Melbourne Renegades
info,gender,male
info,season,2025/26
info,date,2026/01/07
info,event,Big Bash League
info,match_number,26
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,OJ Peake
info,umpire,BC Treloar
info,umpire,Eloise Sheridan
info,reserve_umpire,D Brigham
info,tv_umpire,SE Dionysius
info,match_referee,CA Burke
info,winner,Melbourne Renegades
info,winner_wickets,4
info,player,Perth Scorchers,MR Marsh
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,LJ Evans
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,JS Paris
info,player,Perth Scorchers,DA Payne
info,player,Perth Scorchers,M Beardman
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,Mohammad Rizwan
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,OJ Peake
info,player,Melbourne Renegades,Hassan Khan
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,SM Elliott
info,player,Melbourne Renegades,GS Sandhu
info,player,Melbourne Renegades,JP Behrendorff
info,player,Melbourne Renegades,C Stow
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,C Connolly,fe366f34
info,registry,people,C Stow,3f9ec1d2
info,registry,people,CA Burke,629654e6
info,registry,people,D Brigham,464daf41
info,registry,people,DA Payne,6c79c098
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FH Allen,bf74b130
info,registry,people,GS Sandhu,1558d83b
info,registry,people,Hassan Khan,486065b3
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JS Paris,7c8f533d
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Beardman,b5a12740
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,NR Hobson,4312e0fd
info,registry,people,OJ Peake,9c8448ba
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SM Elliott,00cda8e4
info,registry,people,TL Seifert,4663bd23
info,registry,people,W Sutherland,bc2d4f2e
