version,2.2.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Sydney Sixers
info,gender,male
info,season,2025/26
info,date,2026/01/08
info,event,Big Bash League
info,match_number,27
info,venue,Melbourne Cricket Ground
info,city,Melbourne
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,JA Davies
info,umpire,Andrew Crozier
info,umpire,ME Claydon
info,reserve_umpire,Bede Sajowitz
info,tv_umpire,MW Graham-Smith
info,match_referee,RL Parry
info,winner,Sydney Sixers
info,winner_wickets,6
info,player,Melbourne Stars,SB Harper
info,player,Melbourne Stars,TF Rogers
info,player,Melbourne Stars,C Kellaway
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,BD Macdonald
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,HWR Cartwright
info,player,Melbourne Stars,MJ Swepson
info,player,Melbourne Stars,Haris Rauf
info,player,Melbourne Stars,LC Hatcher
info,player,Melbourne Stars,PM Siddle
info,player,Sydney Sixers,Babar Azam
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,SM Curran
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,L Shaw
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,JA Davies
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,BAD Manenti
info,player,Sydney Sixers,SA Abbott
info,registry,people,Andrew Crozier,00d07580
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BD Macdonald,28147cdc
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Babar Azam,8a75e999
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,C Kellaway,60c28835
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,J Edwards,f787e0eb
info,registry,people,JA Davies,5cdf8304
info,registry,people,JC Silk,7a6dc294
info,registry,people,JR Philippe,39086549
info,registry,people,L Shaw,b34e4b15
info,registry,people,LC Hatcher,8f3fde65
info,registry,people,MC Henriques,32198ae0
info,registry,people,ME Claydon,15101f12
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,PM Siddle,bd93fea4
info,registry,people,RL Parry,86d151dc
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SB Harper,a756e61a
info,registry,people,SM Curran,e94915e6
info,registry,people,TF Rogers,7f232d46
