version,2.2.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Perth Scorchers
info,gender,male
info,season,2025/26
info,date,2026/01/17
info,event,Big Bash League
info,match_number,39
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,JA Richardson
info,umpire,MW Graham-Smith
info,umpire,SJ Nogajski
info,reserve_umpire,ME Claydon
info,tv_umpire,Sharad Patel
info,match_referee,David Johnston
info,winner,Perth Scorchers
info,winner_wickets,6
info,player,Melbourne Stars,TF Rogers
info,player,Melbourne Stars,SB Harper
info,player,Melbourne Stars,JM Clarke
info,player,Melbourne Stars,C Kellaway
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,HWR Cartwright
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,TK Curran
info,player,Melbourne Stars,MJ Swepson
info,player,Melbourne Stars,Haris Rauf
info,player,Melbourne Stars,PM Siddle
info,player,Perth Scorchers,MR Marsh
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,LJ Evans
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,L Holt
info,player,Perth Scorchers,DA Payne
info,player,Perth Scorchers,M Beardman
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Hardie,d405c0d5
info,registry,people,C Connolly,fe366f34
info,registry,people,C Kellaway,60c28835
info,registry,people,DA Payne,6c79c098
info,registry,people,David Johnston,92cef862
info,registry,people,FH Allen,bf74b130
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JP Inglis,989889ff
info,registry,people,L Holt,21e1e7bd
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Beardman,b5a12740
info,registry,people,ME Claydon,15101f12
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,PM Siddle,bd93fea4
info,registry,people,SB Harper,a756e61a
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,TF Rogers,7f232d46
info,registry,people,TK Curran,e86754b2
