version,2.2.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Sydney Sixers
info,gender,male
info,season,2025/26
info,date,2026/01/18
info,event,Big Bash League
info,match_number,40
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,SM Curran
info,umpire,BC Treloar
info,umpire,GA Abood
info,reserve_umpire,MH Wessels
info,tv_umpire,SE Dionysius
info,match_referee,Dave Gilbert
info,winner,Sydney Sixers
info,winner_wickets,5
info,player,Brisbane Heat,JD Wildermuth
info,player,Brisbane Heat,UT Khawaja
info,player,Brisbane Heat,NA McSweeney
info,player,Brisbane Heat,MT Renshaw
info,player,Brisbane Heat,M Labuschagne
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,MG Neser
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,MP Kuhnemann
info,player,Brisbane Heat,Zaman Khan
info,player,Sydney Sixers,Babar Azam
info,player,Sydney Sixers,SPD Smith
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,SM Curran
info,player,Sydney Sixers,L Shaw
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,JA Davies
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,MA Starc
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Babar Azam,8a75e999
info,registry,people,Dave Gilbert,aa782370
info,registry,people,GA Abood,a4af5528
info,registry,people,J Edwards,f787e0eb
info,registry,people,JA Davies,5cdf8304
info,registry,people,JD Wildermuth,f1c61793
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JR Philippe,39086549
info,registry,people,L Shaw,b34e4b15
info,registry,people,M Bryant,f32012f4
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MA Starc,3fb19989
info,registry,people,MC Henriques,32198ae0
info,registry,people,MG Neser,0164b064
info,registry,people,MH Wessels,90f47cf2
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MT Renshaw,218d4d78
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SM Curran,e94915e6
info,registry,people,SPD Smith,30a45b23
info,registry,people,UT Khawaja,331ea488
info,registry,people,XC Bartlett,3b53243a
info,registry,people,Zaman Khan,28392e11
