version,2.2.0
info,balls_per_over,6
info,team,Durban's Super Giants
info,team,Paarl Royals
info,gender,male
info,season,2025/26
info,date,2026/01/13
info,event,SA20
info,match_number,23
info,venue,"Boland Park, Paarl"
info,city,Paarl
info,toss_winner,Paarl Royals
info,toss_decision,field
info,player_of_match,RA Herman
info,umpire,BP Jele
info,umpire,W Wyngaard
info,reserve_umpire,TC Mokorosi
info,tv_umpire,M Erasmus
info,match_referee,LH Matroos
info,winner,Paarl Royals
info,winner_wickets,6
info,player,Durban's Super Giants,SP Narine
info,player,Durban's Super Giants,AK Markram
info,player,Durban's Super Giants,JC Buttler
info,player,Durban's Super Giants,DG Bedingham
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,LS Livingstone
info,player,Durban's Super Giants,E Jones
info,player,Durban's Super Giants,D Wiese
info,player,Durban's Super Giants,E Bosch
info,player,Durban's Super Giants,Noor Ahmad
info,player,Durban's Super Giants,SR Harmer
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,AM Tribe
info,player,Paarl Royals,DW Lawrence
info,player,Paarl Royals,RA Herman
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,Sikandar Raza
info,player,Paarl Royals,K Lion-Cachet
info,player,Paarl Royals,D Potgieter
info,player,Paarl Royals,Mujeeb Ur Rahman
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,N Mokoena
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Tribe,86f84b37
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,D Potgieter,60fbf53a
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DA Miller,d67d5f00
info,registry,people,DG Bedingham,a1b69936
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,E Bosch,28d6c44d
info,registry,people,E Jones,fbfea9c2
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JC Buttler,99b75528
info,registry,people,K Lion-Cachet,aed9ac31
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,LH Matroos,6fa18157
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Erasmus,15d3c895
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,N Mokoena,201facae
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,RA Herman,9c821d2e
info,registry,people,SP Narine,9d430b40
info,registry,people,SR Harmer,23638956
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,W Wyngaard,5cafa9ed
