version,2.2.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Pretoria Capitals
info,gender,male
info,season,2025/26
info,date,2026/01/21
info,event,SA20
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,Sunrisers Eastern Cape
info,toss_decision,bat
info,player_of_match,B Parsons
info,umpire,A Paleker
info,umpire,A Jacobs
info,reserve_umpire,Stephen Harris
info,tv_umpire,BP Jele
info,match_referee,GH Pienaar
info,winner,Pretoria Capitals
info,winner_wickets,7
info,player,Sunrisers Eastern Cape,Q de Kock
info,player,Sunrisers Eastern Cape,JM Bairstow
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,CJ Green
info,player,Sunrisers Eastern Cape,MP Breetzke
info,player,Sunrisers Eastern Cape,JM Coles
info,player,Sunrisers Eastern Cape,L Gregory
info,player,Sunrisers Eastern Cape,S Muthusamy
info,player,Sunrisers Eastern Cape,A Nortje
info,player,Pretoria Capitals,SD Hope
info,player,Pretoria Capitals,B Parsons
info,player,Pretoria Capitals,C Esterhuizen
info,player,Pretoria Capitals,D Brevis
info,player,Pretoria Capitals,SE Rutherford
info,player,Pretoria Capitals,JM Cox
info,player,Pretoria Capitals,RL Chase
info,player,Pretoria Capitals,KA Maharaj
info,player,Pretoria Capitals,LB Williams
info,player,Pretoria Capitals,L Ngidi
info,player,Pretoria Capitals,GG Peters
info,registry,people,A Jacobs,70d117de
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Paleker,634b11ac
info,registry,people,B Parsons,fc60e81a
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,CJ Green,19b9f399
info,registry,people,D Brevis,844e79d1
info,registry,people,GG Peters,360f4e4b
info,registry,people,GH Pienaar,3516e46b
info,registry,people,J Hermann,e87aeca2
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Cox,ff154ecd
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,L Gregory,06c2de82
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LB Williams,a1d95bd8
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Q de Kock,372455c4
info,registry,people,RL Chase,3feda4fa
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Stubbs,85b3fab2
info,registry,people,WJ Lubbe,10f42013
