version,2.2.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Melbourne Stars
info,gender,female
info,season,2022/23
info,date,2022/10/15
info,event,Women's Big Bash League
info,match_number,4
info,venue,"Great Barrier Reef Arena, Mackay"
info,city,Mackay
info,toss_winner,Brisbane Heat
info,toss_decision,bat
info,player_of_match,E Johnston
info,umpire,CA Polosak
info,umpire,M Mellifont
info,tv_umpire,S Redfern
info,match_referee,SD Fry
info,winner,Brisbane Heat
info,winner_runs,9
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,E Johnston
info,player,Brisbane Heat,G Voll
info,player,Brisbane Heat,AC Kerr
info,player,Brisbane Heat,L Harris
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,M Hinkley
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,CG Sippel
info,player,Brisbane Heat,JM Kerr
info,player,Melbourne Stars,L Winfield-Hill
info,player,Melbourne Stars,C Smith
info,player,Melbourne Stars,A Capsey
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,T Flintoff
info,player,Melbourne Stars,N Faltum
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,S Reid
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,S Day
info,registry,people,A Capsey,910dd54e
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AC Kerr,7673c908
info,registry,people,C Smith,c160db98
info,registry,people,CA Polosak,26a360d2
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,CR Knott,d7ff1adc
info,registry,people,E Johnston,3785e30d
info,registry,people,G Redmayne,324b9eee
info,registry,people,G Voll,5c30d455
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JM Kerr,9af58032
info,registry,people,KJ Garth,0b69a844
info,registry,people,L Harris,36e2dc83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Hinkley,3812165d
info,registry,people,M Mellifont,41729aa5
info,registry,people,N Faltum,9a56c670
info,registry,people,NM Hancock,af8c3a85
info,registry,people,R McKenna,f7e41cd8
info,registry,people,S Day,c3d27d76
info,registry,people,S Redfern,5b038989
info,registry,people,S Reid,1380c4c2
info,registry,people,SD Fry,6b725ed1
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,T Flintoff,5471b94a
