version,2.2.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Melbourne Renegades
info,gender,female
info,season,2022/23
info,date,2022/10/30
info,event,Women's Big Bash League
info,match_number,24
info,venue,"Eastern Oval, Ballarat"
info,city,Ballarat
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,AJ Healy
info,umpire,D Brigham
info,umpire,G Bawa
info,match_referee,Kent Hannam
info,winner,Sydney Sixers
info,winner_runs,37
info,player,Sydney Sixers,SW Bates
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,NE Bolton
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,S Ecclestone
info,player,Sydney Sixers,A Genford
info,player,Sydney Sixers,L Cheatle
info,player,Sydney Sixers,S Campbell
info,player,Melbourne Renegades,S Molineux
info,player,Melbourne Renegades,HK Matthews
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,AC Jayangani
info,player,Melbourne Renegades,G Prestwidge
info,player,Melbourne Renegades,C Leeson
info,player,Melbourne Renegades,RK O'Donnell
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,E Falconer
info,player,Melbourne Renegades,PA Bowdler
info,player,Melbourne Renegades,S Ismail
info,registry,people,A Gardner,bc969efb
info,registry,people,A Genford,52b45daa
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AJ Healy,321644de
info,registry,people,C Leeson,d71e33bb
info,registry,people,C Webb,1f4a8a2a
info,registry,people,D Brigham,464daf41
info,registry,people,E Falconer,be50addf
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,G Bawa,dad513b6
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,HK Matthews,d32cf49a
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,L Cheatle,275dff85
info,registry,people,M Brown,78bec461
info,registry,people,NE Bolton,dd883071
info,registry,people,PA Bowdler,ebdbb0d5
info,registry,people,RK O'Donnell,2ec8a400
info,registry,people,S Campbell,c6b09326
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Ismail,108c4c09
info,registry,people,S Molineux,99e23670
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,SW Bates,89bbc67a
