match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.1,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.2,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,3,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,0,1,1,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,0.7,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.1,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.2,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.3,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.4,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.5,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,1.6,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.2,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.3,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.4,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.5,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,2.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,M Strano,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.1,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.2,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.3,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.4,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.5,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,HNK Jensen,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,3.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,HNK Jensen,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.1,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.2,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.3,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.5,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,4.6,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,ML Gibson,0,1,1,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,HK Matthews,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.4,Melbourne Renegades,Hobart Hurricanes,HK Matthews,AC Jayangani,ML Gibson,0,0,,,,,,caught,HK Matthews,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.5,Melbourne Renegades,Hobart Hurricanes,JE Dooley,AC Jayangani,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,JE Dooley,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,5.7,Melbourne Renegades,Hobart Hurricanes,JE Dooley,AC Jayangani,ML Gibson,0,0,,,,,,caught and bowled,JE Dooley,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.3,Melbourne Renegades,Hobart Hurricanes,S Molineux,AC Jayangani,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,6.6,Melbourne Renegades,Hobart Hurricanes,S Molineux,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,NJ Carey,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,S Molineux,NJ Carey,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.5,Melbourne Renegades,Hobart Hurricanes,S Molineux,AC Jayangani,NJ Carey,0,0,,,,,,caught,S Molineux,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,7.6,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,NJ Carey,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.3,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.4,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,R Johnston,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.5,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,8.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,R Johnston,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.2,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.3,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.4,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,ML Gibson,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,9.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,ML Gibson,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.1,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.5,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,H Graham,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,10.6,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.5,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,11.6,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,NJ Carey,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.1,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,12.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,NJ Carey,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.5,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,NJ Carey,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,13.6,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,NJ Carey,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.2,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.5,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,M Strano,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,14.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,M Strano,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.1,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Webb,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.3,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,4,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.4,Melbourne Renegades,Hobart Hurricanes,C Webb,AC Jayangani,ML Gibson,0,0,,,,,,caught,C Webb,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.5,Melbourne Renegades,Hobart Hurricanes,E Falconer,AC Jayangani,ML Gibson,0,0,,,,,,bowled,E Falconer,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,15.6,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.1,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.2,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.3,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.4,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,6,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,16.6,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.1,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,ML Gibson,0,1,,,,1,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,ML Gibson,2,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.4,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.5,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,ML Gibson,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,17.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,ML Gibson,0,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.1,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.2,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,6,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.3,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.4,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,0,1,,,,1,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.5,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,0,1,1,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.6,Melbourne Renegades,Hobart Hurricanes,AC Jayangani,C Leeson,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,18.7,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,H Graham,1,0,,,,,,,,,
1323581,2022/23,2022-11-03,"Bellerive Oval, Hobart",1,19.1,Melbourne Renegades,Hobart Hurricanes,C Leeson,AC Jayangani,NJ Carey,1,0,,,,,,,,,
