version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Sydney Sixers
info,gender,female
info,season,2022/23
info,date,2022/11/26
info,event,Women's Big Bash League
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,DJS Dottin
info,umpire,CA Polosak
info,umpire,Eloise Sheridan
info,reserve_umpire,SE Dionysius
info,tv_umpire,Troy Penman
info,match_referee,RW Stratford
info,winner,Adelaide Strikers
info,winner_runs,10
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,DJS Dottin
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TJ McPharlin
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Sydney Sixers,SW Bates
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,NE Bolton
info,player,Sydney Sixers,S Ecclestone
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,K Peterson
info,player,Sydney Sixers,A Genford
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Genford,52b45daa
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AJ Healy,321644de
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Brown,2e81be88
info,registry,people,DJS Dottin,53bee17f
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,K Peterson,5f377534
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Cheatle,275dff85
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Brown,78bec461
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,NE Bolton,dd883071
info,registry,people,RW Stratford,85489579
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SW Bates,89bbc67a
info,registry,people,TJ McPharlin,595e1ee7
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,Troy Penman,0aa42c26
