version,2.2.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Adelaide Strikers
info,gender,female
info,season,2023/24
info,date,2023/10/23
info,event,Women's Big Bash League
info,match_number,7
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,H Kaur
info,umpire,C Grant
info,umpire,D Brigham
info,match_referee,RW Stratford
info,winner,Melbourne Renegades
info,winner_runs,81
info,player,Melbourne Renegades,TT Beaumont
info,player,Melbourne Renegades,HK Matthews
info,player,Melbourne Renegades,JE Dooley
info,player,Melbourne Renegades,H Kaur
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,JE Duffin
info,player,Melbourne Renegades,E Hayward
info,player,Melbourne Renegades,E Kershaw
info,player,Melbourne Renegades,G Prestwidge
info,player,Melbourne Renegades,G Wareham
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,DR Gibson
info,player,Adelaide Strikers,GL Adams
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,C Grant,876ed858
info,registry,people,C Webb,1f4a8a2a
info,registry,people,D Brigham,464daf41
info,registry,people,DR Gibson,d2763568
info,registry,people,E Hayward,eacd9bb1
info,registry,people,E Kershaw,8eeebce2
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GL Adams,7b1f2542
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JE Dooley,6f7e30d6
info,registry,people,JE Duffin,5ebc3941
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,RW Stratford,85489579
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,TT Beaumont,b2664905
