version,2.2.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Perth Scorchers
info,gender,female
info,season,2023/24
info,date,2023/10/25
info,event,Women's Big Bash League
info,match_number,10
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Hobart Hurricanes
info,toss_decision,bat
info,player_of_match,CC Ainsworth
info,umpire,Ashlee Gibbons
info,umpire,J Buscall
info,match_referee,RW Stratford
info,winner,Perth Scorchers
info,winner_wickets,7
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,BF Smith
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,R Johnston
info,player,Hobart Hurricanes,NE Stalenberg
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,H Silver-holmes
info,player,Hobart Hurricanes,A Smith
info,player,Hobart Hurricanes,S Ismail
info,player,Hobart Hurricanes,ML Gibson
info,player,Perth Scorchers,L Winfield-Hill
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,S Campbell
info,registry,people,A King,83558266
info,registry,people,A Smith,b125ce63
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,BF Smith,c64b7c5b
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,H Silver-holmes,2bfc7199
info,registry,people,J Buscall,abc082bf
info,registry,people,L Lee,7b01ce83
info,registry,people,L Mills,c35a0b8a
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Darke,57a90666
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Gibson,27fa592f
info,registry,people,NE Stalenberg,609c519e
info,registry,people,P Cleary,507acf2e
info,registry,people,R Johnston,3cd107a7
info,registry,people,RW Stratford,85489579
info,registry,people,S Campbell,c6b09326
info,registry,people,S Ismail,108c4c09
info,registry,people,SFM Devine,de69af96
