version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Adelaide Strikers
info,gender,female
info,season,2023/24
info,date,2023/11/05
info,event,Women's Big Bash League
info,match_number,26
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Perth Scorchers
info,toss_decision,bat
info,player_of_match,KM Mack
info,umpire,J Buscall
info,umpire,Sharad Patel
info,tv_umpire,Ashlee Gibbons
info,match_referee,SD Fry
info,winner,Adelaide Strikers
info,winner_wickets,6
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,NR Sciver-Brunt
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,S Campbell
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,DR Gibson
info,player,Adelaide Strikers,GL Adams
info,player,Adelaide Strikers,A O'Neil
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,registry,people,A King,83558266
info,registry,people,A O'Neil,4f2cf3ed
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,DR Gibson,d2763568
info,registry,people,GL Adams,7b1f2542
info,registry,people,J Buscall,abc082bf
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Darke,57a90666
info,registry,people,ML Schutt,17608a6f
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Cleary,507acf2e
info,registry,people,S Campbell,c6b09326
info,registry,people,SD Fry,6b725ed1
info,registry,people,SFM Devine,de69af96
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,TM McGrath,ca5acfa4
