version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Brisbane Heat
info,gender,female
info,season,2023/24
info,date,2023/11/06
info,event,Women's Big Bash League
info,match_number,27
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Brisbane Heat
info,toss_decision,field
info,player_of_match,T Wilson
info,umpire,D Moran
info,umpire,Roberto Howard
info,match_referee,Kent Hannam
info,winner,Sydney Thunder
info,winner_runs,8
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,M Kapp
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,O Porter
info,player,Sydney Thunder,C Moore
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,SL Bates
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,AC Kerr
info,player,Brisbane Heat,M du Preez
info,player,Brisbane Heat,G Voll
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,BAM Heath
info,player,Brisbane Heat,M Hinkley
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,CG Sippel
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,BAM Heath,3b5a9438
info,registry,people,C Moore,284cd027
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Moran,fd171c58
info,registry,people,G Redmayne,324b9eee
info,registry,people,G Voll,5c30d455
info,registry,people,GM Harris,72166006
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Darlington,50b558d2
info,registry,people,JL Jonassen,0475a86b
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,M Hinkley,3812165d
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M du Preez,e219f17a
info,registry,people,NM Hancock,af8c3a85
info,registry,people,O Porter,9ac15b90
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Wilson,32100b2d
