version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Adelaide Strikers
info,gender,female
info,season,2023/24
info,date,2023/11/15
info,event,Women's Big Bash League
info,match_number,40
info,venue,"Karen Rolton Oval, Adelaide"
info,city,Adelaide
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,L Wolvaardt
info,umpire,D Bhatt
info,umpire,Harry Singh
info,match_referee,SD Fry
info,winner,Adelaide Strikers
info,winner_wickets,6
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,M Kapp
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,PA Bowdler
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,LG Smith
info,player,Sydney Thunder,SL Bates
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,DR Gibson
info,player,Adelaide Strikers,GL Adams
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,registry,people,A Learoyd,1757bedf
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,D Bhatt,b34f743c
info,registry,people,DR Gibson,d2763568
info,registry,people,GL Adams,7b1f2542
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Darlington,50b558d2
info,registry,people,Harry Singh,9bb06571
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LG Smith,9c515112
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,PA Bowdler,ebdbb0d5
info,registry,people,SD Fry,6b725ed1
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Wilson,32100b2d
info,registry,people,TM McGrath,ca5acfa4
