version,2.2.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Sydney Thunder
info,gender,female
info,season,2023/24
info,date,2023/11/18
info,event,Women's Big Bash League
info,match_number,44
info,venue,"Cricket Central, Sydney"
info,city,Sydney
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,AR Hamilton
info,umpire,Bede Sajowitz
info,match_referee,SJ Davis
info,winner,Sydney Thunder
info,winner_wickets,9
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,NR Sciver-Brunt
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,T Peschel
info,player,Perth Scorchers,CC Ainsworth
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,M Kapp
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,O Porter
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,SL Bates
info,player,Sydney Thunder,LG Smith
info,registry,people,A King,83558266
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,AR Hamilton,95d26c59
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,C Piparo,276f3dde
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Darlington,50b558d2
info,registry,people,LG Smith,9c515112
info,registry,people,M Darke,57a90666
info,registry,people,M Kapp,63e3b6b3
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,O Porter,9ac15b90
info,registry,people,P Cleary,507acf2e
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
