version,2.2.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Perth Scorchers
info,gender,female
info,season,2023/24
info,date,2023/11/22
info,event,Women's Big Bash League
info,match_number,50
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Melbourne Stars
info,toss_decision,bat
info,player_of_match,SIR Dunkley
info,umpire,Ahmad Khan
info,umpire,J Thomas
info,match_referee,Kent Hannam
info,winner,Melbourne Stars
info,winner_runs,33
info,player,Melbourne Stars,SIR Dunkley
info,player,Melbourne Stars,ME Bouchier
info,player,Melbourne Stars,A Capsey
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,T Flintoff
info,player,Melbourne Stars,S Reid
info,player,Melbourne Stars,N Faltum
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,MH Illingworth
info,player,Melbourne Stars,S Day
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,NR Sciver-Brunt
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,CC Ainsworth
info,registry,people,A Capsey,910dd54e
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,Ahmad Khan,a63ceba6
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,J Thomas,118c3b91
info,registry,people,KJ Garth,0b69a844
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,L Mills,c35a0b8a
info,registry,people,M Darke,57a90666
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MH Illingworth,99dc3877
info,registry,people,N Faltum,9a56c670
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Cleary,507acf2e
info,registry,people,S Day,c3d27d76
info,registry,people,S Reid,1380c4c2
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,T Flintoff,5471b94a
