version,2.2.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Melbourne Renegades
info,gender,female
info,season,2023/24
info,date,2023/11/23
info,event,Women's Big Bash League
info,match_number,51
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,L Lee
info,umpire,M Qureshi
info,umpire,Simon Burns
info,match_referee,David Johnston
info,winner,Hobart Hurricanes
info,winner_runs,93
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,BF Smith
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,NE Stalenberg
info,player,Hobart Hurricanes,R Johnston
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,A Smith
info,player,Hobart Hurricanes,S Ismail
info,player,Hobart Hurricanes,ML Gibson
info,player,Melbourne Renegades,TT Beaumont
info,player,Melbourne Renegades,G Prestwidge
info,player,Melbourne Renegades,H Kaur
info,player,Melbourne Renegades,HK Matthews
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,G Wareham
info,player,Melbourne Renegades,E de Broughe
info,player,Melbourne Renegades,JE Duffin
info,player,Melbourne Renegades,JE Dooley
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,Sara Kennedy
info,registry,people,A Smith,b125ce63
info,registry,people,BF Smith,c64b7c5b
info,registry,people,C Webb,1f4a8a2a
info,registry,people,David Johnston,92cef862
info,registry,people,E de Broughe,5b8826e0
info,registry,people,EJ Villani,cde96d97
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,G Wareham,f0b4e47d
info,registry,people,H Graham,99812d10
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JE Dooley,6f7e30d6
info,registry,people,JE Duffin,5ebc3941
info,registry,people,L Lee,7b01ce83
info,registry,people,M Qureshi,cf34fbef
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Gibson,27fa592f
info,registry,people,NE Stalenberg,609c519e
info,registry,people,NJ Carey,dff806f4
info,registry,people,R Johnston,3cd107a7
info,registry,people,S Ismail,108c4c09
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,Sara Kennedy,73d09f44
info,registry,people,Simon Burns,c0741b3f
info,registry,people,TT Beaumont,b2664905
