version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Brisbane Heat
info,gender,female
info,season,2024/25
info,date,2024/10/27
info,event,Women's Big Bash League
info,match_number,1
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Brisbane Heat
info,toss_decision,field
info,player_of_match,CR Knott
info,umpire,Eloise Sheridan
info,umpire,MV Waldron
info,reserve_umpire,PR George
info,tv_umpire,Andrew Crozier
info,match_referee,SJ Davis
info,winner,Brisbane Heat
info,winner_wickets,4
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Adelaide Strikers,AC Mushangwe
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,L Winfield-Hill
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,L Harris
info,player,Brisbane Heat,N de Klerk
info,player,Brisbane Heat,SU Ginger
info,player,Brisbane Heat,S Pandey
info,player,Brisbane Heat,GE Parsons
info,player,Brisbane Heat,NM Hancock
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,Andrew Crozier,00d07580
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Brown,2e81be88
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,G Redmayne,324b9eee
info,registry,people,GE Parsons,0ded1af1
info,registry,people,GM Harris,72166006
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Harris,36e2dc83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,MV Waldron,2e4f11e9
info,registry,people,N de Klerk,ea544967
info,registry,people,NM Hancock,af8c3a85
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,PR George,b76e2583
info,registry,people,S Pandey,5463cb7a
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SU Ginger,803af9e0
info,registry,people,TM McGrath,ca5acfa4
