version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Sydney Sixers
info,gender,female
info,season,2024/25
info,date,2024/10/29
info,event,Women's Big Bash League
info,match_number,5
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,A Wellington
info,umpire,Roberto Howard
info,umpire,Sharad Patel
info,reserve_umpire,ME Claydon
info,tv_umpire,Troy Penman
info,match_referee,Dave Gilbert
info,winner,Adelaide Strikers
info,winner_runs,11
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Adelaide Strikers,AC Mushangwe
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,HJ Armitage
info,player,Sydney Sixers,SJ Bryce
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,Siow Tzin Yee
info,player,Sydney Sixers,S Ecclestone
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,CG Sippel
info,player,Sydney Sixers,F Nicklin
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,C Bray,b54cc792
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,D Brown,2e81be88
info,registry,people,Dave Gilbert,aa782370
info,registry,people,E Johnston,3785e30d
info,registry,people,EA Perry,be150fc8
info,registry,people,F Nicklin,30058fe5
info,registry,people,HJ Armitage,f05167d2
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Cheatle,275dff85
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Brown,78bec461
info,registry,people,M Penna,36453b99
info,registry,people,ME Claydon,15101f12
info,registry,people,ML Schutt,17608a6f
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,Troy Penman,0aa42c26
