version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Sydney Sixers
info,gender,female
info,season,2024/25
info,date,2024/11/10
info,event,Women's Big Bash League
info,match_number,22
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Sydney Thunder
info,toss_decision,bat
info,player_of_match,SL Bates
info,umpire,S Patel
info,umpire,Troy Penman
info,reserve_umpire,ME Claydon
info,tv_umpire,CA Polosak
info,match_referee,David Johnston
info,winner,Sydney Thunder
info,winner_runs,18
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,AC Kerr
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,HJ Armitage
info,player,Sydney Sixers,SJ Bryce
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,S Ecclestone
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,CG Sippel
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,AJ Healy,321644de
info,registry,people,C Bray,b54cc792
info,registry,people,CA Polosak,26a360d2
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,David Johnston,92cef862
info,registry,people,EA Perry,be150fc8
info,registry,people,G Voll,5c30d455
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Armitage,f05167d2
info,registry,people,HJ Darlington,50b558d2
info,registry,people,L Cheatle,275dff85
info,registry,people,M Brown,78bec461
info,registry,people,ME Claydon,15101f12
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Ismail,108c4c09
info,registry,people,S Patel,c4ee6c06
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
info,registry,people,Troy Penman,0aa42c26
