version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Perth Scorchers
info,gender,female
info,season,2024/25
info,date,2024/11/19
info,event,Women's Big Bash League
info,match_number,32
info,venue,"Karen Rolton Oval, Adelaide"
info,city,Adelaide
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,ML Schutt
info,umpire,D Brigham
info,umpire,D Taylor
info,reserve_umpire,PR George
info,tv_umpire,MV Waldron
info,match_referee,SJ Davis
info,winner,Adelaide Strikers
info,winner_runs,30
info,player,Adelaide Strikers,S Mandhana
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,D Hemalatha
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BM Halliday
info,player,Perth Scorchers,M Hinkley
info,player,Perth Scorchers,C Leeson
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,E Hoskin
info,registry,people,A King,83558266
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,AL Edgar,795ff893
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,C Leeson,d71e33bb
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,D Brigham,464daf41
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,D Taylor,b940a2b2
info,registry,people,E Hoskin,cd2ad878
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Darke,57a90666
info,registry,people,M Hinkley,3812165d
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,MV Waldron,2e4f11e9
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,PR George,b76e2583
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,TM McGrath,ca5acfa4
