version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Melbourne Renegades
info,gender,female
info,season,2024/25
info,date,2024/11/23
info,event,Women's Big Bash League
info,match_number,37
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Sydney Thunder
info,toss_decision,bat
info,player_of_match,S Molineux
info,umpire,C Haysom
info,umpire,D Brigham
info,reserve_umpire,L McCabe
info,tv_umpire,C Grant
info,match_referee,RL Parry
info,winner,Melbourne Renegades
info,winner_wickets,9
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,GL Adams
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,HK Matthews
info,player,Melbourne Renegades,S Molineux
info,player,Melbourne Renegades,DJS Dottin
info,player,Melbourne Renegades,G Wareham
info,player,Melbourne Renegades,NE Stalenberg
info,player,Melbourne Renegades,N Faltum
info,player,Melbourne Renegades,G Scrivens
info,player,Melbourne Renegades,G Prestwidge
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,MH Illingworth
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,C Grant,876ed858
info,registry,people,C Haysom,e8eb3b33
info,registry,people,C Webb,1f4a8a2a
info,registry,people,D Brigham,464daf41
info,registry,people,DJS Dottin,53bee17f
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,G Scrivens,7306c48d
info,registry,people,G Voll,5c30d455
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GL Adams,7b1f2542
info,registry,people,HJ Darlington,50b558d2
info,registry,people,HK Matthews,d32cf49a
info,registry,people,L McCabe,1dbc4a64
info,registry,people,MH Illingworth,99dc3877
info,registry,people,N Faltum,9a56c670
info,registry,people,NE Stalenberg,609c519e
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,RL Parry,86d151dc
info,registry,people,S Ismail,108c4c09
info,registry,people,S Molineux,99e23670
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
