version,2.2.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Hobart Hurricanes
info,gender,female
info,season,2025/26
info,date,2025/11/09
info,event,Women's Big Bash League
info,match_number,2
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,DN Wyatt
info,umpire,K White
info,umpire,SE Dionysius
info,reserve_umpire,N James
info,tv_umpire,MH Wessels
info,match_referee,J Broadbent
info,winner,Hobart Hurricanes
info,winner_wickets,6
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,L Harris
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,Hasrat Gill
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,DN Wyatt
info,player,Hobart Hurricanes,NR Sciver-Brunt
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,R Trenaman
info,player,Hobart Hurricanes,H Silver-holmes
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,LG Smith
info,player,Hobart Hurricanes,LCN Smith
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,DN Wyatt,a139c379
info,registry,people,EJ Villani,cde96d97
info,registry,people,G Voll,5c30d455
info,registry,people,H Graham,99812d10
info,registry,people,H Silver-holmes,2bfc7199
info,registry,people,HC Knight,4ba0289e
info,registry,people,Hasrat Gill,95a055e0
info,registry,people,J Broadbent,f3266bb5
info,registry,people,K White,5766214d
info,registry,people,L Harris,36e2dc83
info,registry,people,L Lee,7b01ce83
info,registry,people,LCN Smith,340202b0
info,registry,people,LG Smith,9c515112
info,registry,people,M Strano,f57d5dbb
info,registry,people,MH Wessels,90f47cf2
info,registry,people,N James,3de4511d
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,R Trenaman,877dd709
info,registry,people,S Ismail,108c4c09
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
