version,2.2.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Hobart Hurricanes
info,gender,female
info,season,2025/26
info,date,2025/11/18
info,event,Women's Big Bash League
info,match_number,14
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,DN Wyatt
info,umpire,MR Scolyer
info,umpire,Simon Burns
info,reserve_umpire,Sam Burns
info,tv_umpire,M Qureshi
info,match_referee,David Johnston
info,winner,Hobart Hurricanes
info,winner_wickets,4
info,player,Adelaide Strikers,TT Beaumont
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,E Johnston
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,S Ecclestone
info,player,Adelaide Strikers,E Larosa
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,DN Wyatt
info,player,Hobart Hurricanes,NR Sciver-Brunt
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,R Trenaman
info,player,Hobart Hurricanes,H Silver-holmes
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,LCN Smith
info,player,Hobart Hurricanes,LG Smith
info,registry,people,A Wellington,9b3bcca4
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,D Brown,2e81be88
info,registry,people,DN Wyatt,a139c379
info,registry,people,David Johnston,92cef862
info,registry,people,E Johnston,3785e30d
info,registry,people,E Larosa,2433382a
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,H Silver-holmes,2bfc7199
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LCN Smith,340202b0
info,registry,people,LG Smith,9c515112
info,registry,people,M Penna,36453b99
info,registry,people,M Qureshi,cf34fbef
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Schutt,17608a6f
info,registry,people,MR Scolyer,f8ff26c6
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,R Trenaman,877dd709
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,Sam Burns,b0c7ede2
info,registry,people,Simon Burns,c0741b3f
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,TT Beaumont,b2664905
