version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Royal Challengers Bangalore
info,gender,female
info,season,2022/23
info,date,2023/03/15
info,event,Women's Premier League
info,match_number,13
info,venue,"Dr DY Patil Sports Academy, Mumbai"
info,city,Navi Mumbai
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,KS Ahuja
info,umpire,M Kuppuraj
info,umpire,Sanjay Kumar Singh
info,reserve_umpire,PG Pathak
info,tv_umpire,N Pandit
info,match_referee,GS Lakshmi
info,winner,Royal Challengers Bangalore
info,winner_wickets,5
info,player,UP Warriorz,AJ Healy
info,player,UP Warriorz,DP Vaidya
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,TM McGrath
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,Simran Shaikh
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,K Anjali Sarvani
info,player,UP Warriorz,RS Gayakwad
info,player,Royal Challengers Bangalore,SFM Devine
info,player,Royal Challengers Bangalore,S Mandhana
info,player,Royal Challengers Bangalore,EA Perry
info,player,Royal Challengers Bangalore,HC Knight
info,player,Royal Challengers Bangalore,KS Ahuja
info,player,Royal Challengers Bangalore,RM Ghosh
info,player,Royal Challengers Bangalore,SR Patil
info,player,Royal Challengers Bangalore,ML Schutt
info,player,Royal Challengers Bangalore,S Asha
info,player,Royal Challengers Bangalore,Renuka Singh
info,player,Royal Challengers Bangalore,DD Kasat
info,registry,people,AJ Healy,321644de
info,registry,people,DB Sharma,201fef33
info,registry,people,DD Kasat,fc0155d9
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,EA Perry,be150fc8
info,registry,people,GM Harris,72166006
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,HC Knight,4ba0289e
info,registry,people,K Anjali Sarvani,fa0bf9d9
info,registry,people,KP Navgire,617a0b79
info,registry,people,KS Ahuja,58593620
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Pandit,4947c258
info,registry,people,PG Pathak,9f772ec5
info,registry,people,RM Ghosh,721e0199
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Asha,77143581
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SFM Devine,de69af96
info,registry,people,SR Patil,33946d69
info,registry,people,Sanjay Kumar Singh,ccb9d6a6
info,registry,people,Simran Shaikh,4961601c
info,registry,people,TM McGrath,ca5acfa4
