version,2.2.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,Royal Challengers Bangalore
info,gender,female
info,season,2022/23
info,date,2023/03/18
info,event,Women's Premier League
info,match_number,16
info,venue,"Brabourne Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Gujarat Giants
info,toss_decision,bat
info,player_of_match,SFM Devine
info,umpire,Sanjay Kumar Singh
info,umpire,VG Rathi
info,reserve_umpire,Chirra Ravikanthreddy
info,tv_umpire,PG Pathak
info,match_referee,AV Narvekar
info,winner,Royal Challengers Bangalore
info,winner_wickets,8
info,player,Gujarat Giants,SIR Dunkley
info,player,Gujarat Giants,L Wolvaardt
info,player,Gujarat Giants,S Meghana
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,D Hemalatha
info,player,Gujarat Giants,H Deol
info,player,Gujarat Giants,Ashwani Kumari
info,player,Gujarat Giants,S Verma
info,player,Gujarat Giants,KJ Garth
info,player,Gujarat Giants,S Rana
info,player,Gujarat Giants,TP Kanwar
info,player,Royal Challengers Bangalore,S Mandhana
info,player,Royal Challengers Bangalore,SFM Devine
info,player,Royal Challengers Bangalore,EA Perry
info,player,Royal Challengers Bangalore,HC Knight
info,player,Royal Challengers Bangalore,KS Ahuja
info,player,Royal Challengers Bangalore,RM Ghosh
info,player,Royal Challengers Bangalore,SR Patil
info,player,Royal Challengers Bangalore,DD Kasat
info,player,Royal Challengers Bangalore,S Asha
info,player,Royal Challengers Bangalore,ML Schutt
info,player,Royal Challengers Bangalore,Preeti Bose
info,registry,people,A Gardner,bc969efb
info,registry,people,AV Narvekar,a7c9f985
info,registry,people,Ashwani Kumari,09298aca
info,registry,people,Chirra Ravikanthreddy,8b680f55
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DD Kasat,fc0155d9
info,registry,people,EA Perry,be150fc8
info,registry,people,H Deol,3664712e
info,registry,people,HC Knight,4ba0289e
info,registry,people,KJ Garth,0b69a844
info,registry,people,KS Ahuja,58593620
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,ML Schutt,17608a6f
info,registry,people,PG Pathak,9f772ec5
info,registry,people,Preeti Bose,ca1a3105
info,registry,people,RM Ghosh,721e0199
info,registry,people,S Asha,77143581
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Meghana,302fb7ae
info,registry,people,S Rana,c4c374d9
info,registry,people,S Verma,185e6c0c
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SR Patil,33946d69
info,registry,people,Sanjay Kumar Singh,ccb9d6a6
info,registry,people,TP Kanwar,443c122f
info,registry,people,VG Rathi,144e5b16
