version,2.2.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,Mumbai Indians
info,gender,female
info,season,2023/24
info,date,2024/02/25
info,event,Women's Premier League
info,match_number,3
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,AC Kerr
info,umpire,Gayathri Venugopal
info,umpire,P Jayapal
info,reserve_umpire,A Bengeri
info,tv_umpire,VG Rathi
info,match_referee,AV Narvekar
info,winner,Mumbai Indians
info,winner_wickets,5
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,V Krishnamurthy
info,player,Gujarat Giants,H Deol
info,player,Gujarat Giants,P Litchfield
info,player,Gujarat Giants,D Hemalatha
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,KE Bryce
info,player,Gujarat Giants,S Rana
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,LMM Tahuhu
info,player,Gujarat Giants,Meghna Singh
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,P Vastrakar
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,SB Keerthana
info,player,Mumbai Indians,S Ishaque
info,registry,people,A Bengeri,c109497d
info,registry,people,A Gardner,bc969efb
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,AV Narvekar,a7c9f985
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,KE Bryce,f13d3eba
info,registry,people,LMM Tahuhu,60471339
info,registry,people,Meghna Singh,f176e421
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Jayapal,209e51e8
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,P Vastrakar,8026ea72
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Ismail,108c4c09
info,registry,people,S Rana,c4c374d9
info,registry,people,S Sajana,a4dcac97
info,registry,people,SB Keerthana,4a3cdeec
info,registry,people,TP Kanwar,443c122f
info,registry,people,V Krishnamurthy,c3f21798
info,registry,people,VG Rathi,144e5b16
info,registry,people,YH Bhatia,9c3d4e8a
