version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Delhi Capitals
info,gender,female
info,season,2023/24
info,date,2024/02/26
info,event,Women's Premier League
info,match_number,4
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,M Kapp
info,umpire,M Krishnadas
info,umpire,PG Pathak
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,N Janani
info,match_referee,VR Nagre
info,winner,Delhi Capitals
info,winner_wickets,9
info,player,UP Warriorz,AJ Healy
info,player,UP Warriorz,D Vrinda
info,player,UP Warriorz,TM McGrath
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,PN Khemnar
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,G Sultana
info,player,UP Warriorz,RS Gayakwad
info,player,Delhi Capitals,MM Lanning
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,A Capsey
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,A Sutherland
info,player,Delhi Capitals,A Reddy
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,T Bhatia
info,player,Delhi Capitals,RP Yadav
info,player,Delhi Capitals,S Pandey
info,registry,people,A Capsey,910dd54e
info,registry,people,A Reddy,eadc8924
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,D Vrinda,3a015a5f
info,registry,people,DB Sharma,201fef33
info,registry,people,G Sultana,ff227198
info,registry,people,GM Harris,72166006
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,KP Navgire,617a0b79
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Mani,8d1ade08
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Janani,d06a665d
info,registry,people,PG Pathak,9f772ec5
info,registry,people,PN Khemnar,53707c8c
info,registry,people,RP Yadav,6c3aef71
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,Shafali Verma,d8f59089
info,registry,people,T Bhatia,211dc1ce
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,VR Nagre,fadaac76
