match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.2,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,4,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.3,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.4,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.5,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.6,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,1,1,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,0.7,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.2,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,0,1,1,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.3,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.4,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.5,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.6,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,4,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,1.7,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,2,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.2,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.3,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,2,2,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.4,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.5,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.6,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,1,,,1,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.7,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,0,1,1,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,2.8,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,4,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.2,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.3,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.4,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.5,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,3.6,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,4,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.2,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.3,Gujarat Giants,Royal Challengers Bengaluru,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,bowled,L Wolvaardt,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.4,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.5,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,Renuka Singh,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,4.6,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,Renuka Singh,2,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,D Hemalatha,VJ Joshitha,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.2,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,VJ Joshitha,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.3,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,VJ Joshitha,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.4,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,VJ Joshitha,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.5,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,D Hemalatha,VJ Joshitha,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,5.6,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,D Hemalatha,VJ Joshitha,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.1,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,KS Ahuja,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.2,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,D Hemalatha,KS Ahuja,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.3,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,KS Ahuja,0,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.4,Gujarat Giants,Royal Challengers Bengaluru,D Hemalatha,BL Mooney,KS Ahuja,0,0,,,,,,caught,D Hemalatha,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.5,Gujarat Giants,Royal Challengers Bengaluru,A Gardner,BL Mooney,KS Ahuja,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,6.6,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,A Gardner,KS Ahuja,1,0,,,,,,,,,
1469298,2024/25,2025-02-14,"Kotambi Stadium, Vadodara",1,7.1,Gujarat Giants,Royal Challengers Bengaluru,BL Mooney,A Gardner,VJ Joshitha,1,0,,,,,,,,,
