version,2.2.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,Mumbai Indians
info,gender,female
info,season,2024/25
info,date,2025/02/18
info,event,Women's Premier League
info,match_number,5
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,HK Matthews
info,umpire,Anish Sahasrabudhe
info,umpire,Gayathri Venugopal
info,reserve_umpire,Bhavesh Patel
info,tv_umpire,N Janani
info,match_referee,M Mangla
info,winner,Mumbai Indians
info,winner_wickets,5
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,L Wolvaardt
info,player,Gujarat Giants,D Hemalatha
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,H Deol
info,player,Gujarat Giants,DJS Dottin
info,player,Gujarat Giants,KS Gautam
info,player,Gujarat Giants,Simran Shaikh
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,SG Satghare
info,player,Gujarat Giants,Priya Mishra
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,PS Sisodia
info,registry,people,A Gardner,bc969efb
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DJS Dottin,53bee17f
info,registry,people,G Kamalini,2a5ed897
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,KS Gautam,bc773c4a
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Mangla,a4d2b121
info,registry,people,N Janani,d06a665d
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,PS Sisodia,261931e1
info,registry,people,Priya Mishra,91e217c3
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Sajana,a4dcac97
info,registry,people,SG Satghare,3708b522
info,registry,people,Simran Shaikh,4961601c
info,registry,people,TP Kanwar,443c122f
info,registry,people,YH Bhatia,9c3d4e8a
