version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Mumbai Indians
info,gender,female
info,season,2024/25
info,date,2025/02/26
info,event,Women's Premier League
info,match_number,11
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,NR Sciver-Brunt
info,umpire,KM Gandhi
info,umpire,K Kelkar
info,reserve_umpire,HAS Khalid
info,tv_umpire,VG Rathi
info,match_referee,VR Nagre
info,winner,Mumbai Indians
info,winner_wickets,8
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,D Vrinda
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,TM McGrath
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,U Chetry
info,player,UP Warriorz,CA Henry
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,SZ Thakor
info,player,UP Warriorz,K Goud
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,JN Kalita
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,CA Henry,75820733
info,registry,people,D Vrinda,3a015a5f
info,registry,people,DB Sharma,201fef33
info,registry,people,G Kamalini,2a5ed897
info,registry,people,GM Harris,72166006
info,registry,people,H Kaur,53cd8da6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JN Kalita,4c3bbf03
info,registry,people,K Goud,4d622fee
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KP Navgire,617a0b79
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Sajana,a4dcac97
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SZ Thakor,7d794fa6
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,U Chetry,8f8f94fd
info,registry,people,VG Rathi,144e5b16
info,registry,people,VR Nagre,fadaac76
info,registry,people,YH Bhatia,9c3d4e8a
