version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2024/25
info,date,2025/03/08
info,event,Women's Premier League
info,match_number,18
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,G Voll
info,umpire,Anish Sahasrabudhe
info,umpire,Bhavesh Patel
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,AK Argal
info,match_referee,RB Kalita
info,winner,UP Warriorz
info,winner_runs,12
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,G Voll
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,CA Henry
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,PN Khemnar
info,player,UP Warriorz,U Chetry
info,player,UP Warriorz,K Goud
info,player,UP Warriorz,K Anjali Sarvani
info,player,Royal Challengers Bengaluru,S Meghana
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,EA Perry
info,player,Royal Challengers Bengaluru,Raghvi Bist
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,KS Ahuja
info,player,Royal Challengers Bengaluru,G Wareham
info,player,Royal Challengers Bengaluru,CE Dean
info,player,Royal Challengers Bengaluru,KJ Garth
info,player,Royal Challengers Bengaluru,S Rana
info,player,Royal Challengers Bengaluru,Renuka Singh
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,Arushi Goel,a9cdaa02
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,CA Henry,75820733
info,registry,people,CE Dean,c6625a26
info,registry,people,DB Sharma,201fef33
info,registry,people,EA Perry,be150fc8
info,registry,people,G Voll,5c30d455
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,K Anjali Sarvani,fa0bf9d9
info,registry,people,K Goud,4d622fee
info,registry,people,KJ Garth,0b69a844
info,registry,people,KP Navgire,617a0b79
info,registry,people,KS Ahuja,58593620
info,registry,people,PN Khemnar,53707c8c
info,registry,people,RB Kalita,8d7ad5a6
info,registry,people,RM Ghosh,721e0199
info,registry,people,Raghvi Bist,19826516
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Meghana,302fb7ae
info,registry,people,S Rana,c4c374d9
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,U Chetry,8f8f94fd
