version,2.2.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2025/26
info,date,2026/01/09
info,event,Women's Premier League
info,match_number,1
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,N de Klerk
info,umpire,Bhavesh Patel
info,umpire,N Janani
info,reserve_umpire,KM Gandhi
info,tv_umpire,Gayathri Venugopal
info,match_referee,RB Kalita
info,winner,Royal Challengers Bengaluru
info,winner_wickets,3
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,NJ Carey
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,PN Khemnar
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,S Ishaque
info,player,Royal Challengers Bengaluru,GM Harris
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,D Hemalatha
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,RP Yadav
info,player,Royal Challengers Bengaluru,N de Klerk
info,player,Royal Challengers Bengaluru,A Reddy
info,player,Royal Challengers Bengaluru,SR Patil
info,player,Royal Challengers Bengaluru,P Rawat
info,player,Royal Challengers Bengaluru,LCN Smith
info,player,Royal Challengers Bengaluru,LK Bell
info,registry,people,A Reddy,eadc8924
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,G Kamalini,2a5ed897
info,registry,people,GM Harris,72166006
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Kaur,53cd8da6
info,registry,people,KM Gandhi,a9421c64
info,registry,people,LCN Smith,340202b0
info,registry,people,LK Bell,38b4583c
info,registry,people,N Janani,d06a665d
info,registry,people,N de Klerk,ea544967
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Rawat,34b8cd68
info,registry,people,PN Khemnar,53707c8c
info,registry,people,RB Kalita,8d7ad5a6
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Ismail,108c4c09
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Sajana,a4dcac97
info,registry,people,SR Patil,33946d69
