version,2.2.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,UP Warriorz
info,gender,female
info,season,2025/26
info,date,2026/01/10
info,event,Women's Premier League
info,match_number,2
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,UP Warriorz
info,toss_decision,field
info,player_of_match,G Wareham
info,umpire,Gayathri Venugopal
info,umpire,KM Gandhi
info,reserve_umpire,K Kelkar
info,tv_umpire,N Janani
info,match_referee,RB Kalita
info,winner,Gujarat Giants
info,winner_runs,10
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,SFM Devine
info,player,Gujarat Giants,AB Sharma
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,G Wareham
info,player,Gujarat Giants,BS Fulmali
info,player,Gujarat Giants,KS Ahuja
info,player,Gujarat Giants,KS Gautam
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,RS Gayakwad
info,player,Gujarat Giants,Renuka Singh
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,MM Lanning
info,player,UP Warriorz,P Litchfield
info,player,UP Warriorz,H Deol
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,DJS Dottin
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,S Asha
info,player,UP Warriorz,S Pandey
info,player,UP Warriorz,K Goud
info,registry,people,A Gardner,bc969efb
info,registry,people,AB Sharma,9b3b9987
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BS Fulmali,bd8689b0
info,registry,people,DB Sharma,201fef33
info,registry,people,DJS Dottin,53bee17f
info,registry,people,G Wareham,f0b4e47d
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Deol,3664712e
info,registry,people,K Goud,4d622fee
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KP Navgire,617a0b79
info,registry,people,KS Ahuja,58593620
info,registry,people,KS Gautam,bc773c4a
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Janani,d06a665d
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,RB Kalita,8d7ad5a6
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Asha,77143581
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SFM Devine,de69af96
info,registry,people,TP Kanwar,443c122f
