version,2.2.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2025/26
info,date,2026/01/12
info,event,Women's Premier League
info,match_number,5
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,GM Harris
info,umpire,Bhavesh Patel
info,umpire,Gayathri Venugopal
info,reserve_umpire,KM Gandhi
info,tv_umpire,K Kelkar
info,match_referee,GS Lakshmi
info,winner,Royal Challengers Bengaluru
info,winner_wickets,9
info,player,UP Warriorz,MM Lanning
info,player,UP Warriorz,H Deol
info,player,UP Warriorz,P Litchfield
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,DJS Dottin
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,S Asha
info,player,UP Warriorz,S Pandey
info,player,UP Warriorz,K Goud
info,player,Royal Challengers Bengaluru,GM Harris
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,D Hemalatha
info,player,Royal Challengers Bengaluru,RP Yadav
info,player,Royal Challengers Bengaluru,N de Klerk
info,player,Royal Challengers Bengaluru,A Reddy
info,player,Royal Challengers Bengaluru,SR Patil
info,player,Royal Challengers Bengaluru,GJ Naik
info,player,Royal Challengers Bengaluru,LCN Smith
info,player,Royal Challengers Bengaluru,LK Bell
info,registry,people,A Reddy,eadc8924
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DB Sharma,201fef33
info,registry,people,DJS Dottin,53bee17f
info,registry,people,GJ Naik,52183095
info,registry,people,GM Harris,72166006
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Deol,3664712e
info,registry,people,K Goud,4d622fee
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KP Navgire,617a0b79
info,registry,people,LCN Smith,340202b0
info,registry,people,LK Bell,38b4583c
info,registry,people,MM Lanning,27e003ce
info,registry,people,N de Klerk,ea544967
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,S Asha,77143581
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SR Patil,33946d69
