version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2025/26
info,date,2026/01/17
info,event,Women's Premier League
info,match_number,11
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,S Mandhana
info,umpire,Bhavesh Patel
info,umpire,N Janani
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,K Kelkar
info,match_referee,MA Chakraborty
info,winner,Royal Challengers Bengaluru
info,winner_wickets,8
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,L Lee
info,player,Delhi Capitals,L Wolvaardt
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,S Rana
info,player,Delhi Capitals,LK Hamilton
info,player,Delhi Capitals,N Shree Charani
info,player,Delhi Capitals,NSS Sharma
info,player,Royal Challengers Bengaluru,GM Harris
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,G Voll
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,GJ Naik
info,player,Royal Challengers Bengaluru,N de Klerk
info,player,Royal Challengers Bengaluru,RP Yadav
info,player,Royal Challengers Bengaluru,SG Satghare
info,player,Royal Challengers Bengaluru,SR Patil
info,player,Royal Challengers Bengaluru,P Rawat
info,player,Royal Challengers Bengaluru,LK Bell
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,G Voll,5c30d455
info,registry,people,GJ Naik,52183095
info,registry,people,GM Harris,72166006
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Kelkar,1d88908d
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LK Bell,38b4583c
info,registry,people,LK Hamilton,c347ffe6
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,MA Chakraborty,02264ff3
info,registry,people,N Janani,d06a665d
info,registry,people,N Shree Charani,583ce32c
info,registry,people,N de Klerk,ea544967
info,registry,people,NS Prasad,f903aec2
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,P Rawat,34b8cd68
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Rana,c4c374d9
info,registry,people,SG Satghare,3708b522
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
