version,2.2.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2025/26
info,date,2026/01/26
info,event,Women's Premier League
info,match_number,16
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,NR Sciver-Brunt
info,umpire,Anish Sahasrabudhe
info,umpire,VG Rathi
info,reserve_umpire,AS Guha
info,tv_umpire,AK Argal
info,match_referee,NK Lokur
info,winner,Mumbai Indians
info,winner_runs,15
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,Rahila Firdous
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,PN Khemnar
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,Vaishnavi Sharma
info,player,Royal Challengers Bengaluru,GM Harris
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,G Voll
info,player,Royal Challengers Bengaluru,GJ Naik
info,player,Royal Challengers Bengaluru,RP Yadav
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,N de Klerk
info,player,Royal Challengers Bengaluru,A Reddy
info,player,Royal Challengers Bengaluru,SG Satghare
info,player,Royal Challengers Bengaluru,SR Patil
info,player,Royal Challengers Bengaluru,LK Bell
info,registry,people,A Reddy,eadc8924
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,AK Argal,0ee78cf3
info,registry,people,AS Guha,c21b184d
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,G Voll,5c30d455
info,registry,people,GJ Naik,52183095
info,registry,people,GM Harris,72166006
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,LK Bell,38b4583c
info,registry,people,N de Klerk,ea544967
info,registry,people,NK Lokur,2b0fa148
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,PN Khemnar,53707c8c
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Rahila Firdous,dca1e9c4
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Sajana,a4dcac97
info,registry,people,SG Satghare,3708b522
info,registry,people,SR Patil,33946d69
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnavi Sharma,86e80bff
