version,2.2.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,Delhi Capitals
info,gender,female
info,season,2025/26
info,date,2026/02/03
info,event,Women's Premier League
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,JI Rodrigues
info,umpire,AS Guha
info,umpire,Bhavesh Patel
info,reserve_umpire,K Kelkar
info,tv_umpire,Gayathri Venugopal
info,match_referee,NK Lokur
info,winner,Delhi Capitals
info,winner_wickets,7
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,SFM Devine
info,player,Gujarat Giants,AB Sharma
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,KS Ahuja
info,player,Gujarat Giants,G Wareham
info,player,Gujarat Giants,BS Fulmali
info,player,Gujarat Giants,KS Gautam
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,RS Gayakwad
info,player,Gujarat Giants,Renuka Singh
info,player,Delhi Capitals,L Lee
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,L Wolvaardt
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,CA Henry
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,S Rana
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,N Shree Charani
info,player,Delhi Capitals,NSS Sharma
info,registry,people,A Gardner,bc969efb
info,registry,people,AB Sharma,9b3b9987
info,registry,people,AS Guha,c21b184d
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BS Fulmali,bd8689b0
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,CA Henry,75820733
info,registry,people,G Wareham,f0b4e47d
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Kelkar,1d88908d
info,registry,people,KS Ahuja,58593620
info,registry,people,KS Gautam,bc773c4a
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,N Shree Charani,583ce32c
info,registry,people,NK Lokur,2b0fa148
info,registry,people,NS Prasad,f903aec2
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Rana,c4c374d9
info,registry,people,SFM Devine,de69af96
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TP Kanwar,443c122f
